# Cascade Expansion on Generalized Watts-Strogatz Graphs
# Edges 217926	Average Clustering = 0.173536
# Page Rank execution...
# 245  iterations. Error: 0.000982646879141
# Eigenvector Centrality... # Done
# Betweennes centrality... # Done
# Page Rank	Eigenvector	Betweenness
200 323	200 440	200 570
400 543	400 782	400 1068
600 774	600 1166	600 1426
800 986	800 1482	800 1742
1000 1223	1000 1804	1000 2115
1200 1399	1200 2109	1200 2515
1400 1731	1400 2330	1400 2720
1600 1996	1600 2575	1600 3038
1800 2260	1800 2796	1800 3311
2000 2494	2000 3063	2000 3584
2200 2709	2200 3342	2200 3772
2400 2935	2400 3550	2400 4064
2600 3164	2600 3642	2600 4223
2800 3321	2800 3920	2800 4445
3000 3505	3000 4102	3000 4650
3200 3727	3200 4296	3200 4793
3400 3904	3400 4510	3400 4999
3600 4127	3600 4681	3600 5183
3800 4354	3800 4850	3800 5373
4000 4578	4000 5047	4000 5515
4200 4745	4200 5304	4200 5674
4400 4925	4400 5540	4400 5788
4600 5115	4600 5701	4600 5969
4800 5363	4800 5951	4800 6101
5000 5523	5000 6101	5000 6192
5200 5684	5200 6262	5200 6332
5400 5868	5400 6469	5400 6468
5600 6025	5600 6495	5600 6528
5800 6195	5800 6612	5800 6610
6000 6376	6000 6694	6000 6673
6200 6510	6200 6744	6200 6731
6400 6642	6400 6823	6400 6816
6600 6776	6600 6890	6600 6903
6800 6904	6800 6970	6800 6961
