# Edges 162870	Average Clustering = 0.003368
# Page Rank execution...
# 13  iterations. Error: 0.000633931211112
# Eigenvector Centrality... # Done
# Betweennes centrality... # Done
# Page Rank	Eigenvector	Betweenness
200 392	200 474	200 514
400 656	400 895	400 835
600 1066	600 1299	600 1239
800 1311	800 1636	800 1570
1000 1548	1000 1951	1000 1917
1200 1860	1200 2208	1200 2166
1400 2117	1400 2542	1400 2441
1600 2415	1600 2739	1600 2595
1800 2533	1800 2994	1800 2843
2000 2835	2000 3253	2000 3100
2200 3094	2200 3482	2200 3319
2400 3185	2400 3650	2400 3541
2600 3494	2600 3857	2600 3735
2800 3709	2800 4024	2800 3892
3000 3876	3000 4184	3000 4159
3200 4101	3200 4428	3200 4366
3400 4196	3400 4606	3400 4502
3600 4418	3600 4791	3600 4629
3800 4616	3800 4983	3800 4776
4000 4723	4000 5122	4000 4938
4200 4952	4200 5301	4200 5181
4400 5117	4400 5412	4400 5252
4600 5296	4600 5569	4600 5432
4800 5442	4800 5728	4800 5582
5000 5568	5000 5809	5000 5739
5200 5742	5200 5967	5200 5854
5400 5852	5400 6142	5400 5995
5600 6041	5600 6259	5600 6151
5800 6173	5800 6354	5800 6282
6000 6306	6000 6500	6000 6411
6200 6448	6200 6629	6200 6521
6400 6609	6400 6725	6400 6664
6600 6735	6600 6841	6600 6803
6800 6881	6800 6953	6800 6925
7000 7035	7000 7061	7000 7048
