# Cascade Expansion Watts-Strogatz Graphs
# Edges 202790	Average Clustering = 0.173130
# Page Rank execution...
# 88  iterations. Error: 0.000950358780173
# Eigenvector Centrality... # Done
# Betweennes centrality... # Done
# Page Rank	Eigenvector	Betweenness
200 331	200 494	200 547
400 676	400 843	400 990
600 907	600 1177	600 1394
800 1253	800 1546	800 1788
1000 1572	1000 2014	1000 2199
1200 1804	1200 2242	1200 2560
1400 1973	1400 2569	1400 2850
1600 2347	1600 2828	1600 3143
1800 2563	1800 3122	1800 3439
2000 2785	2000 3326	2000 3650
2200 2959	2200 3732	2200 3819
2400 3268	2400 3858	2400 4184
2600 3434	2600 4133	2600 4411
2800 3647	2800 4405	2800 4497
3000 3881	3000 4639	3000 4758
3200 4077	3200 4831	3200 4915
3400 4254	3400 5022	3400 5152
3600 4474	3600 5214	3600 5344
3800 4590	3800 5410	3800 5449
4000 4827	4000 5630	4000 5615
4200 4941	4200 5705	4200 5768
4400 5091	4400 5915	4400 5953
4600 5283	4600 6052	4600 6065
4800 5489	4800 6176	4800 6192
5000 5617	5000 6328	5000 6334
5200 5799	5200 6446	5200 6418
5400 5931	5400 6495	5400 6506
5600 6106	5600 6613	5600 6562
5800 6224	5800 6639	5800 6663
6000 6395	6000 6710	6000 6723
6200 6489	6200 6770	6200 6787
6400 6668	6400 6850	6400 6865
6600 6776	6600 6928	6600 6921
6800 6917	6800 7002	6800 7001
7000 7043	7000 7073	7000 7072
