# Cascade Expansion Wiki-Vote.txt
# Edges = 103689	Average Clustering = 0.140898
# Page Rank execution...
# 54  iterations. Error: 0.000834968957836
# Eigenvector Centrality... # Done
# Betweennes centrality... # Done
# Page Rank	Eigenvector	Betweenness
200 450	200 851	200 741
400 691	400 1220	400 942
600 950	600 1472	600 1271
800 1137	800 1744	800 1417
1000 1306	1000 1911	1000 1546
1200 1524	1200 2122	1200 1705
1400 1702	1400 2291	1400 1836
1600 1841	1600 2496	1600 2032
1800 1967	1800 2674	1800 2257
2000 2126	2000 2887	2000 2442
2200 2241	2200 3072	2200 2625
2400 2400	2400 3250	2400 2795
2600 2600	2600 3411	2600 2999
2800 2800	2800 3576	2800 3226
3000 3000	3000 3762	3000 3371
3200 3200	3200 3946	3200 3534
3400 3400	3400 4155	3400 3743
3600 3600	3600 4364	3600 3924
3800 3800	3800 4557	3800 4124
4000 4000	4000 4738	4000 4289
4200 4200	4200 4955	4200 4477
4400 4400	4400 5165	4400 4667
4600 4600	4600 5318	4600 4839
4800 4800	4800 5504	4800 5019
5000 5000	5000 5698	5000 5199
5200 5200	5200 5890	5200 5387
5400 5400	5400 6067	5400 5568
5600 5600	5600 6284	5600 5746
5800 5800	5800 6480	5800 5943
6000 6000	6000 6649	6000 6123
6200 6200	6200 6841	6200 6299
6400 6400	6400 6866	6400 6485
6600 6600	6600 6948	6600 6655
6800 6800	6800 7006	6800 6837
7000 7000	7000 7079	7000 7012
